"Bill Number","Congress","Bill Title","No. of Clients"
"H.R.1","119","One Big Beautiful Bill Act","2145"
"H.R.5376","117","Inflation Reduction Act of 2022","2044"
"H.R.1","111","American Recovery and Reinvestment Act of 2009","2000"
"H.R.748","116","Relief for Workers Affected by Coronavirus Act","1911"
"H.R.133","116","Water Resources Development Act of 2020","1885"
"H.R.6800","116","Worker Health Coverage Protection Act","1580"
"H.R.3684","117","Infrastructure Investment and Jobs Act","1546"
"H.R.1319","117","American Rescue Plan Act of 2021","1536"
"H.R.1","115","Tax Cuts and Jobs Act","1487"
"H.R.2617","117","Consolidated Appropriations Act 2023","1448"
"H.R.1","112","Disaster Relief Appropriations Act 2013","1342"
"H.R.2638","110","Consolidated Security Disaster Assistance and Continuing Appropriations Act 2009","1292"
"H.R.2029","114","Visa Waiver Program Improvement and Terrorist Travel Prevention Act of 2015","1265"
"H.R.3590","111","Patient Protection & Affordable Care Act","1249"
"H.R.1625","115","Wireless Telecommunications Tax and Fee Collection Fairness Act","1102"
"H.R.1105","111","Omnibus Appropriations Act 2009","1047"
"H.R.3200","111","America's Affordable Health Choices Act of 2009","1039"
"H.R.2454","111","American Clean Energy and Security Act of 2009","1003"
"H.R.3043","110","Departments of Labor Health and Human Services and Education and Related Agencies Appropriations Act 2008","981"
"H.R.1865","116","White Horse Hill National Game Preserve Designation Act","942"
