"Lobbying Firm","Total Income"
"Akin Gump et al","$957260000"
"Brownstein Hyatt et al","$678812250"
"Cassidy & Assoc","$575972100"
"Holland & Knight","$552784544"
"Van Scoyoc Assoc","$545523000"
"Patton Boggs LLP","$525202000"
"BGR Group","$447039000"
"Cornerstone Government Affairs","$436689500"
"Williams & Jensen","$414819000"
"K&L Gates","$330785000"
"Ernst & Young","$319906737"
"Capitol Counsel","$303141000"
"Alpine Group","$279843000"
"Squire Patton Boggs","$277707000"
"Covington & Burling","$274190393"
"Capitol Tax Partners","$263665000"
"Podesta Group","$258450000"
"Ogilvy Government Relations","$250770000"
"Invariant LLC","$235800000"
"Greenberg Traurig LLP","$222473249"
