"Recipient","From Lobbyists","From Lobbyists + Family"
"Maria Cantwell (D-Wash)","$708620","$752466"
"Bob Casey (D-Pa)","$660983","$692993"
"Jon Tester (D-Mont)","$639153","$658923"
"Angela Alsobrooks (D-Md)","$619758","$649940"
"Kamala Harris (D)","$597410","$758787"
"Sherrod Brown (D-Ohio)","$565014","$576475"
"Martin Heinrich (D-NM)","$513558","$519938"
"Tim Kaine (D-Va)","$482736","$524032"
"Jacky Rosen (D-Nev)","$450205","$470848"
"Ken Calvert (R-Calif)","$450159","$465637"
"Steve Scalise (R-La)","$446323","$440523"
"Mike Johnson (R-La)","$425974","$433474"
"Lisa Blunt Rochester (D-Del)","$415779","$426699"
"Tom Emmer (R-Minn)","$414197","$420802"
"Ruben Gallego (D-Ariz)","$394205","$407431"
"Tim Sheehy (R-Mont)","$372802","$378103"
"Donald Trump (R)","$368518","$395979"
"Larry Hogan (R-Md)","$353774","$369724"
"Marsha Blackburn (R-Tenn)","$349284","$351284"
"Hakeem Jeffries (D-NY)","$347276","$355915"
"Ted Cruz (R-Texas)","$346648","$355975"
"Roger Wicker (R-Miss)","$345915","$360065"
"Tammy Baldwin (D-Wis)","$342486","$357348"
"John Barrasso (R-Wyo)","$336046","$344946"
"Kevin McCarthy (R)","$326356","$327856"
"Elissa Slotkin (D-Mich)","$308708","$321378"
"Tom Cole (R-Okla)","$303267","$313792"
"Adam Schiff (D-Calif)","$297835","$317641"
"Jason Smith (R-Mo)","$296246","$297246"
"Brett Guthrie (R-Ky)","$295070","$301820"
"Katherine Clark (D-Mass)","$266401","$275301"
"Dave McCormick (R-Pa)","$262527","$273428"
"Pete Aguilar (D-Calif)","$261498","$273908"
"Darin LaHood (R-Ill)","$255587","$256587"
"Thom Tillis (R-NC)","$252603","$252603"
"Mark Warner (D-Va)","$251983","$252711"
"Deb Fischer (R-Neb)","$240198","$260148"
"John Curtis (R-Utah)","$231818","$233818"
"Frank Pallone Jr. (D-NJ)","$227545","$227545"
"Mike Rogers (R-Mich)","$224668","$228968"
"Tim Scott (R-SC)","$221202","$234636"
"Jim Banks (R-Ind)","$220862","$225362"
"Rob Wittman (R-Va)","$215089","$218177"
"Richard E Neal (D-Mass)","$207350","$207850"
"Christopher S Murphy (D-Conn)","$206171","$223634"
"Guy Reschenthaler (R-Pa)","$199277","$205577"
"Bernie Moreno (R-Ohio)","$197907","$206507"
"Steven Horsford (D-Nev)","$187134","$188384"
"Cathy McMorris Rodgers (R-Wash)","$186706","$189506"
"Gary Peters (D-Mich)","$186355","$193005"
"Richard Hudson (R-NC)","$186300","$189300"
"Nikki Haley (R)","$175919","$206279"
"Garret Graves (R-La)","$172706","$172706"
"Bill Cassidy (R-La)","$169375","$169375"
"Kevin Hern (R-Okla)","$164115","$164115"
"Mike Simpson (R-Idaho)","$161023","$164473"
"Kyrsten Sinema (I-Ariz)","$156633","$156633"
"Chris Coons (D-Del)","$145050","$149050"
"Bill Hagerty (R-Tenn)","$144088","$153388"
"Robert Menendez (I-NJ)","$142599","$150999"
"Maggie Hassan (D-NH)","$142503","$146078"
"French Hill (R-Ark)","$142300","$143300"
"Claudia Tenney (R-NY)","$140431","$141431"
"Andy Barr (R-Ky)","$140358","$140858"
"Rob Menendez (D-NJ)","$139000","$141250"
"Katie Britt (R-Ala)","$138484","$145084"
"Mike Carey (R-Ohio)","$137538","$141838"
"Mario Diaz-Balart (R-Fla)","$133700","$140300"
"Sheldon Whitehouse (D-RI)","$131903","$134903"
"David Schweikert (R-Ariz)","$126243","$127243"
"Dan Newhouse (R-Wash)","$123650","$124650"
"Steve Womack (R-Ark)","$123150","$132250"
"John Carter (R-Texas)","$122400","$122900"
"David Rouzer (R-NC)","$122285","$122285"
"Gabe Amo (D-RI)","$120741","$125241"
"Sam Graves (R-Mo)","$120650","$122150"
"Lori Trahan (D-Mass)","$118230","$118230"
"Rosa DeLauro (D-Conn)","$117119","$117369"
"Mike D Rogers (R-Ala)","$116533","$122533"
"Andy Kim (D-NJ)","$116370","$125280"
"Angus King (I-Maine)","$114800","$114800"
"Celeste Maloy (R-Utah)","$114035","$115035"
"David Valadao (R-Calif)","$113094","$115594"
"Pete Ricketts (R-Neb)","$110553","$114553"
"Colin Allred (D-Texas)","$110046","$123577"
"Julia Letlow (R-La)","$110000","$111000"
"Susan Collins (R-Maine)","$109611","$109611"
"Randy Feenstra (R-Iowa)","$109130","$109130"
"Chuck Fleischmann (R-Tenn)","$108200","$108200"
"Blake Moore (R-Utah)","$107995","$109495"
"Jerry Moran (R-Kan)","$107100","$107100"
"Juan Ciscomani (R-Ariz)","$107031","$107531"
"Andrew Garbarino (R-NY)","$106946","$107446"
"David P Joyce (R-Ohio)","$106800","$108300"
"Carol Miller (R-WVa)","$106726","$110026"
"Angie Craig (D-Minn)","$103982","$103982"
"Jay Obernolte (R-Calif)","$103600","$109100"
"John Joyce (R-Pa)","$103250","$103750"
"Tom Suozzi (D-NY)","$103206","$109106"
"Ben Ray Lujan (D-NM)","$102658","$102658"
