"Recipient","From Lobbyists","From Lobbyists + Family"
"Harry Reid (D-Nev)","$956988","$1070638"
"Blanche Lincoln (D-Ark)","$653238","$734588"
"Charles E Schumer (D-NY)","$641493","$704343"
"Rob Portman (R-Ohio)","$562065","$657365"
"Patty Murray (D-Wash)","$477696","$524145"
"Kirsten Gillibrand (D-NY)","$398736","$436736"
"Roy Blunt (R-Mo)","$391540","$485940"
"Kendrick B Meek (D-Fla)","$351472","$378672"
"Richard Burr (R-NC)","$341402","$388683"
"Michael Bennet (D-Colo)","$318159","$363308"
"Lisa Murkowski (I-Alaska)","$317205","$359055"
"Barbara Boxer (D-Calif)","$273452","$303852"
"Daniel K Inouye (D-Hawaii)","$271993","$302043"
"Steny H Hoyer (D-Md)","$258178","$275528"
"Chuck Grassley (R-Iowa)","$238037","$269137"
"Patrick Leahy (D-Vt)","$236550","$256300"
"Kelly Ayotte (R-NH)","$232844","$268994"
"John Thune (R-SD)","$227226","$249076"
"Byron L Dorgan (D-ND)","$227050","$246400"
"Martha Coakley (D)","$218400","$233900"
"Chris Dodd (D-Conn)","$213933","$254479"
"Arlen Specter (D-Pa)","$213891","$240348"
"Robert Menendez (D-NJ)","$209600","$225200"
"John Boehner (R-Ohio)","$205900","$232850"
"Charles Melancon (D-La)","$205590","$218640"
"Earl Pomeroy (D-ND)","$202698","$225198"
"Charles B Rangel (D-NY)","$186336","$203236"
"Maria Cantwell (D-Wash)","$178746","$190146"
"Dan Maffei (D-NY)","$178423","$197173"
"Mark Kirk (R-Ill)","$174762","$204221"
"John D Dingell (D-Mich)","$172255","$191805"
"Ron Wyden (D-Ore)","$168603","$197553"
"Johnny Isakson (R-Ga)","$167961","$180811"
"Dave Camp (R-Mich)","$163435","$188435"
"Mike Crapo (R-Idaho)","$162967","$182117"
"Marco Rubio (R-Fla)","$162773","$175823"
"Richard C Shelby (R-Ala)","$162218","$186018"
"Rick Boucher (D-Va)","$161396","$167396"
"Ben Nelson (D-Neb)","$161060","$169960"
"Robert F Bennett (R-Utah)","$158343","$199743"
"Ike Skelton (D-Mo)","$157294","$175444"
"Orrin G Hatch (R-Utah)","$154894","$183544"
"John McCain (R-Ariz)","$152000","$175900"
"Eric Cantor (R-Va)","$151000","$160800"
"Robin Carnahan (D-Mo)","$150407","$172007"
"Michael E Capuano (D-Mass)","$147700","$157000"
"Michael N Castle (R-Del)","$146193","$172343"
"James E Clyburn (D-SC)","$144482","$151482"
"Debbie Stabenow (D-Mich)","$142883","$150483"
"Barbara A Mikulski (D-Md)","$142168","$153618"
"David Vitter (R-La)","$139400","$153850"
"James L Oberstar (D-Minn)","$137226","$144126"
"Joe Sestak (D-Pa)","$135050","$162900"
"Paul W Hodes (D-NH)","$133647","$143047"
"Chet Edwards (D-Texas)","$132442","$141642"
"Sander Levin (D-Mich)","$131800","$143550"
"Frank Kratovil (D-Md)","$131622","$145822"
"Ed Markey (D-Mass)","$131450","$138950"
"Barney Frank (D-Mass)","$130823","$138573"
"Scott Murphy (D-NY)","$130591","$147246"
"Mitch McConnell (R-Ky)","$128905","$157405"
"Chris Coons (D-Del)","$128200","$133700"
"Nancy Pelosi (D-Calif)","$126550","$133350"
"Carly Fiorina (R-Calif)","$123856","$159806"
"Allen Boyd (D-Fla)","$123166","$138889"
"Dan Coats (R-Ind)","$122900","$153750"
"Frank Pallone Jr. (D-NJ)","$118720","$125570"
"Jane Norton (R)","$118500","$146800"
"Jason Altmire (D-Pa)","$117572","$126242"
"Max Baucus (D-Mont)","$117339","$124489"
"Richard E Neal (D-Mass)","$114610","$123510"
"Pat Toomey (R-Pa)","$113600","$124100"
"Jerry Moran (R-Kan)","$113021","$126621"
"James P McGovern (D-Mass)","$112574","$124574"
"Scott Brown (R-Mass)","$108200","$132100"
"Allyson Schwartz (D-Pa)","$105343","$112443"
"Rosa DeLauro (D-Conn)","$103152","$118502"
"Trey Grayson (R)","$101550","$120850"
"Roger Wicker (R-Miss)","$100861","$106361"
"Dianne Feinstein (D-Calif)","$99269","$102269"
"Charlie Crist (I-Fla)","$99050","$116799"
"Robert Hurt (R-Va)","$96950","$108500"
"Martin Heinrich (D-NM)","$96906","$103412"
"Pat Tiberi (R-Ohio)","$96365","$115765"
"Jim Moran (D-Va)","$96308","$101558"
"Brad Ellsworth (D-Ind)","$95729","$107129"
"Amy Klobuchar (D-Minn)","$93830","$107310"
"John Kerry (D-Mass)","$93800","$97200"
"Bill Nelson (D-Fla)","$93635","$98135"
"Carolyn Maloney (D-NY)","$93130","$102080"
"Norm Dicks (D-Wash)","$92476","$97069"
"Sherrod Brown (D-Ohio)","$91486","$102286"
"John P Murtha (D-Pa)","$90200","$96500"
"Henry Waxman (D-Calif)","$89800","$96800"
"Ron Kind (D-Wis)","$89500","$101800"
"Tom Harkin (D-Iowa)","$87522","$101309"
"David R Obey (D-Wis)","$85335","$91970"
"Greg Walden (R-Ore)","$84789","$100239"
"Michael E McMahon (D-NY)","$84500","$97050"
"Jim DeMint (R-SC)","$83800","$90800"
